bn,rm
এভরি মান্থ এ ২ বার,Every month a 2 bar
এভরি উইক মানে…স্যাটারডে থেকে ফ্রাইডে এর মধ্যে??,every week mane…Saturday theke Friday ar moddhe??
এক্সাম্পল- অ্যাভাটার মুভি অল সং লিখে সার্চ দিলে হবে….পেয়ে যাবে আশা করি,example- Avatar movie all song likhe search dile hobe….peye jabe asha kori
এক্সসেলেন্ট. …আরো মোড করার পোস্ট চাই….,excellent. …aro mod korar post chai….
এক্সসাইটেড হয়ে কি ডাউনলোড লিংক দিতে ভুলে গেছেন ভাই?,excited hoye ki download link dite vhule gechen vai?
"এক্সকিইউজস মি , ইফ ইউ ডন’ট মাইনড কান্ডলী একটা কথা বলি , ","Excuses me , If you don’t mind kindly akta kotha boli ,"
এক্সপার্ট অথর টিকা ভালো কিছু এক্সসেপ্ট করে ভাই,Expert author tika valo kisu except kore vi
এক্সপাইরি ডেট তো ফিনিশ হয়ে গেছে……..,expire date to finish hoye geche……..
এক্সপায়ারড হয়ে গেসে…আগেই…আর লেখা আছে ২০২০ পর্যন্ত,expired hoye gese…agei…ar lekha ache 2020 porjonto
এক্সপোর্ট প্রবলেম কি সল্ভড?,Export problem ki solved?
এক্সপোসড কিভাবে?? ,Exposed kivabe??
এক্সপ্রেস ভিপিএন (এন্ড্রোইড ইউজার্স)এন্ড সুপার ভিপিএন (এন্ড্রোইড ইউজার্স) প্রিমিয়াম ভার্সন টা দিলে অনেক ভালো হতো ভাই…,Express VPN (Android Users)and Super VPN (Android Users) premium version ta dile onek vlo hoto vai…
এক্সপ্রেস ভিপিএন এর কী শেয়ার করেন প্লিজ ব্রো,Express vpn er key share koren please bro
এই ভিপিএন টা নিয়ে আগে অনেক বার পোস্ট হইছে .. আমি অনেক গোলা ট্রায় করছি.. একটা ও কানেক্ট হয় না,Ey vpn ta niye age onk bar post hoise .. ame Onk gola try korce.. ekta o connect hooii naa
এটার ভার্সন কত?,Eytar version koto?
ফেইসঅ্যাপ মোড টা দেন যেটায় প্রিমিয়াম সব কিছু ইউজ করা যাবে,faceapp mod ta den jetai premuim sob kisu use kora jabe
ফেইসঅ্যাপ প্রো মোড এপিকে থাকলে দেন…. এইটায় সব লকড,faceapp pro mod apk thkle den….aitay sob locked
ফেইসবুক এ নক দিন,Facebook a knock din
ফেইসবুক এ আসলে মেসেজ স্প্যাম বক্স এ পরে থাকে তখন আর রিপ্লাই দেয়া হয় না ভাই….তাই বললাম,Facebook e ashole message spam box e pore thake tokhn ar reply deya hoy na vai….tai bollam
"ফেইসবুক এ মেসেজ দিচ্ছি, রিপ্লাই কইরেন ভাই ","facebook e message dichi, reply koiren bhai"
ফেইসবুক মানে,facebook mane
ফেইসবুক এক্সপার্ট কেউ আছেন? ১টা হেল্প দরকার।টাকার বিনিময়ে হলেও কাজ টা করে দিন প্লিজ।এমন কেউ থাকলে রিপ্লাই করুন। ,facebook expert keu achen? 1ta help dorkar.takar binimoye holeo kaj ta kore din plz.emon keu thakle reply korun.
ফেইসবুক গ্রুপ এ আনলিমিটেড মেম্বার অ্যাড করবো কিভাবে??,Facebook group a unlimited member add korbo kivabe??
ফেইসবুক আইডি লিংক দেন,Facebook id link dan
ফেইসবুক আইডি লিংক প্লিজ,Facebook id link plz
ফেইসবুক ইন্টারন্যাশনাল কার্ড ছাড়া একসেপ্ট করে না,Facebook international card sara accept kore na
ফেইসবুক খোলা যাবে কি এই নাম্বার দিয়া,Facebook Khola Jabe ki Ei Nambar Diya
ফেইসবুক লাইট এ কপি হয়?,Facebook lite a copy hoy?
ফেইসবুক মেসেজ দেন,Facebook message den
ফেইসবুক পেজ দেকেন দাম কমাইছে। আশা করি শোরুম এ গালে ৬৯৯৯ রাখবে,Facebook Page deken dam komaise. asha kori showroom e gale 6999 rakhbe
ফেইসবুক পেজ থাকলে লিংক দেন,Facebook page thakle link den
ফেইসবুক আপডেট দিলে ডার্ক মোড অন হবেনা….,facebook update dile dark mode on hobena….
ফাহাদ ভাই পিসিফোনপ্র কানেক্ট টা কিভাবে?,fahad vai psiphonpro connect ta kibabe?
ফেইক আইডি দেয়া হবে না? ,faike id deya hobe na?
ফেইলড টু গেট ইনফরমেশন দেখালেও নেক্সট এ ক্লিক করবেন…ঠেন নেক্সট স্টেপ এ যাওয়ার কথা... ,Failed to get information dekhaleo next e click korben…then next step e jawar kotha…
ফেইক ক্রেডিট কার্ড অ্যাড করে কি লাভ।কোনো পেইড অ্যাপস কি ফ্রি তে পারচেজ করা যায়?,Fake credit card add kore ki lav.kono paid apps ki free te purchase kora jay?
ফেইক আইডি দিয়ে বিকাশ করা যাবে,Fake id diye bKash kora jabe
ফেইক এনআইডি কার্ড দেয়া এখন আর হয় না,Fake nid card deya akhon r hoy nah
ফেইক এনআইডি কার্ড দিয়ে কি হবে???,Fake NID card diye kih hobe???
ফেইক এনআইডি দিয়ে কাজ হবে?,Fake Nid diye kaj hobe?
ফেইক পোস্ট বলছি কখন ভাই?,Fake Post Bolasi Kokhon Vai?
ফেইক স্ক্রিনশট অফ প্রভা!,Fake screenshot of prove!
ফেইক সব অ্যাপ হয়না,fake sob app hoyna
ফালতামো,faltamo
ফালতু পোস্ট,Falti post
ফালতু একটা পোস্ট,falto ekta post
ফালতু পোস্ট,falto post
ফালতু,faltu
ফালতু অ্যাপ,faltu app
ফালতু কথা বলেন কেন …,Faltu kotha bolen kno … 
ফালতু পোস্ট,faltu post
ফালতু পোস্ট কোনো কাজের নয়……. ভিডিও একদম নষ্ট হয়ে যায়,faltu post kono kajer noy……. video ekdom nosto hoye jay
ফালতু পোস্ট করার আর সময় পান্না মিয়া শুধু শুধু এমবি গুলো নষ্ট রোজার দিন আর কিছু বললাম না,faltu post korar ar somoy panna mia sudhu sudhi mb gula nosto rojar din ar kisu bollam na
ফালতু পোস্ট।থিম সারা আর কিছু বুঝেন না নাকি..অন্য টপিক এ পোস্ট করেন।থিম সম্পর্কে সবাই ভালো করেই জানে। ২০২১ ইয়ার এ থিম এর পোস্ট তাও আবার একটার পর একটা। ,Faltu post.theme sara r kisu bujhen na naki..onno topic a post koren.theme somporke sobai valo korei jane.2021 yr a theme er post tao abar aktar por akta.
"ফালতু, আর চফ্যে সাউন্ড এমপ্লিফায়ার ভালো ","Faltu, ar chfye sound amplifire vvlo"
ফকীর ভাই এই পাসওয়ার্ড হয় না প্লিজ পাসওয়ার্ড তা সল্ভ করেন,faquira vai ay password hoi nah plz password ta solve koren
ফাস্ট কাজ করে কি?,fast kaj kore ki?
ফাস্ট করেন একটু…… আপনার কনটেন্ট আমার খুব দরকার….,fast koren aktu…… apner content amar kub dorkar….
ফাস্ট মোড এনাবল করে দেন অ্যাপ এর,Fast mode enable kore den app er
ফাস্ট নিড টু বুটলোডার আনলক,fast need to bootloader unlock
ফাস্ট শুনলাম এই অ্যাপস কথা,Fast sunlam ai apps kotha
ফাস্টবুট আনলক করছিলেন？ ,Fastboot unlock korcilen？
ফাত্রামি করো মিয়া?? কাজ করে না এমন পোস্ট করো কেনো।যত্ত সব আগে নিজে ট্রাই করে দেখো দেন শেয়ার করো ,fatrami koro mia?? kaj kore na amon post koro kno.jotto sob age nije try kore dekho thn share koro
ফাস্টেড শেয়ার কি ভাবে করবো? ,Fatsted Share Ki Vabe korbo????
ফাউল অ্যাপ। এটার জন্য তো নেট স্পিড কমে যাবে। ,Faul app. Etar jonno to net speed kome jabe.
"ফাউল পোস্ট,,,আমি আপনার রেফার দিয়ে একাউন্ট খুলছি বাট কোনো টাকা পাইনি আজ পর্যন্ত","faul pst,,,ami apnar refer diye account khulsi but kono tk paini aj porjonto"
ফাজলামি করেন মিয়া!!,Fazlami koren miya!!
এফবি অ্যাপ ঐটা? নাকি এফবি এর বুকমার্ক ইউআরএল??,FB app oita? naki fb er bookmark url??
এফবি হ্যাকিং করা যাবে,Fb hacking kora jabe
এফবি আইডি দেন,Fb id dan
এফবি আইডি কিভাবে হ্যাক করবো তা নিয়ে পোস্ট করেন প্লিজ,Fb id kivabe hack korbo ta niya post koren plz
এফবি আইডি লিংক দেন,Fb id link dan
এফবি আইডি লিংক দাও,Fb Id Link Daw
এফবি খোলা যাবে ব্রো?,fb khola jabe bro?
এফবি লিংক দেন ভাই,Fb link den vai
এফবি লাইট এ থেকে টেক্সট কপি করে দেখান?,Fb lite e teke text copy kore dekan?
এফবি তে দিয়ে দেই,Fb te diye dei
এফবি তে ইনবক্স করেন,fb te inbox koran
এফবি তে নক দিছি দেখেন,Fb te knock disi dekhen
এফবি তে লাইক কমেন্ট,fb te like comment
এফবি তে মেসেজ করেন…,Fb te Msg koren…
এফবি তে ইউজ করা যাবে কি এই কার্ড ,Fb te use kora jabe ki ei card 
এফবি তে একটিভ না….,fb teh active na….
এফবি ট্রাই করছিলাম কাজ হইছে,Fb try korchilam kaj hoice
এফএফ এ ভয়েস চেঞ্জ হইছে আপনার..??,FF a voice Change hosse apnar..??
এফএফ এর ওবিবি ফাইল কি ব্যাকআপ হবে এসডী কার্ড এ?,FF er obb file ki backup hobe sd card a?
এফএফ কি সেইফলি খেলা যাবে ব্রো….,FF ki safely Khela jsbe bro….
ফাইল ডিরেক্টরি তে যাওয়ার ওয়ে নেই,File directory te jauyar way nei 
ফাইল এক্সপ্লোরার এর ডাউনলোড লিংক দেন,File Explorer er download link den
ফাইল নট এক্সজিস্ট দেখায়,File not exist dekhay 
ফাইল নট ফাউন্ড দেখায় বুট অ্যানিমেশন এর লিংক ,File not found dekhay boot animation er link
ফাইল-আপ.অর্গ পেমেন্ট করে?,file-up.org payment kore?
ফাইল-আপলোড থেকে ডাউনলোড করতে প্রব্লেম হচ্ছে। অন্য কোনো ডাউনলোড লিংক থাকলে দেন,File-upload theke download korte problem hosse. Onno kono download link thakle den
ফাইন্ড মাই ডিভাইস…অ্যাপস টাই এনাফ,Find my device…apps tai enough
ফিঙ্গার নাই,finger nai
এই ফোনে ফিঙ্গারপ্রিন্ট রয়েছে,ei phone e fingerprint royeche
ফিঙ্গারপ্রিন্ট ব্যাক-মাউন্টেড ফিঙ্গারপ্রিন্ট সেন্সর ইন থিস ফোন,Fingerprint back-mounted fingerprint sensor in this phone
ফার্স্ট বুটলোডার আনলক করেন ,First Bootloader Unlock koren
ফার্স্ট যে পিক দিছেন ব্রো লিংক থেকে ওই পেজ আসে না ,First j pic dichen bro link theke oi page ashe na
ফার্স্ট নিড বুটলোডার আনলক..ট্রাই টু ফাইন্ড ইউটিউব ফর ইওর ডিভাইস..,first need bootloader unlock..try to find Youtube for your device..
ফার্স্ট ওইএম আনলক করে তোরপ ফাইল ফ্ল্যাশ করেন দেন মাগীশিক ইউজ করে রুট করুন,First OEM Unlock kore Twrp File flash koren then magisik use kore root koren
ফার্স্ট পার্ট এ লিংক আছে ব্রো,First part e link ase bro
ফার্স্ট পার্ট লিংক নট ওয়ার্কিং সেটা চেক করুন… আর লিংক ঠিক করুন,first part link not working seta chk korun… r link thik korun
ফার্স্ট টাইম আপনার পোস্ট নট ওয়ার্কিং,First time apnar post not working
ফিক্স ফোল্ডার কোথায় পাবো,Fix folder kutay pabo
ফিক্সড… আমি শেয়ারড ড্রাইভ এ ফাইল রাখছিলাম তাই এমন হয়েছিল,fixed……ami shared drive এ file rakhsilam তাই এমন হয়ছিল
ফ্ল্যাগ এর লিংক কই? আর ডিফল্ট ভাবে লেটেস্ট ক্রোম আপডেট এ তো ডার্কেন ওয়েবসাইট অপশনস তো আসে না….লিংক দেন…,Flag er link koi? R default vabe latest chrome update e to darken website options to ase nah….link den…
ফ্ল্যাগশিপ ফোন কি?,flagship phone ki? 
ফ্লাশ ফাইল এর জন্য বেস্ট সাইট কোনটা কেউ জানলে বলবেন,Flash file er jonno best site konta kew janle bolben
ফ্ল্যাশ করতে হবে,flash korta hoba
ফ্ল্যাশ করতে হবে ফোন,flash korte hobe phone
ফ্লাশলাইট এ লোকেশন পারমিশন লাগবে না। তবুও দিয়ে দিলাম তাতে ক্ষতি কি?,Flashlight e location permission lagbe na. Tobuo diye dilam tate khoti ki?
অ্যাপস ইন্সটল করার দরকার কি ,apps install korar dorkar ki
ফ্লোটিং উইন্ডো তে ক্লিক করেন,Floating Window Te click koren 
তোমার কথা মনে পরে গেল,tmr kotha mne pore gelo
ফকির হয়ে যাইতাছে দিনে দিনে জিপি ,Fokir hoa jaitase dine dine gp
ফ্রি অ্যাপস হলে ভাল হত ,Free apps hole valo hoto
ফ্রি কল এর জন্য কিছু দিন প্লিজ,Free call er jonno kisu din please
ফ্রি কল করা যায় ক্রেডিট দিয়ে,Free call kora jai credit diye
ফ্রি ফায়ার এর ইভেন্ট নিয়ে পোস্ট করবেন প্লিজ ,Free fire er event nie post korben plz
ফ্রি ফায়ার আইডি ব্যান হবে না তো,Free fire id ban hobe na to
ফ্রি ফায়ার প্লে হয় না,free fire play hoi na
"ফ্রি ফায়ার পাব্জি কোনো টাই ইন্সটলে দেইনি আজ পর্যন্ত, যেহেতো এটা দেশি গেম প্লে স্টোর এ রেজিস্টার করে রাখলাম। ","free fire pubg kono tai installe deini aj porjonto, jeheto eta deshi game play store a register kore raklam."
"ফ্রি ফায়ার আর ইন্টারনাল সাউন্ড রেক করতে পারিনা,বাট ভিমস এ কি এন্ড্রোইড ১০ প্লাগিন ইনস্টল দেয়া যায় ওর কোনো ওয়ে তে ইন্টারনাল অডিও রেক করা যায়?","Free fire r internal sound rec korte parina,but Vmos e ki android 10 plugin install dewa jay or kono way te internal audio rec kora jay?"
ফ্রি লাইভ স্ট্রিমিং অ্যাপ কই পাব ভাই,free live streming app koi pabo vai
ফ্রি নাকি,free naki
ফ্রি নাকি পেইড?,free naki paid?
ফ্রি নেট চলে না,Free net chola na
ফ্রি অন্য অ্যাপ রেফার করা কয়েন বাড়িয়া কথা বলতে হয় এটাই তা করতে হয় না,Free ono app reffer kora coin baria kota bolta hoy atai ta korta hoy na
ফ্রি তে দেখা যাবে?,free te dekha jabe?
ফ্রি তে না দিতে পারলে ফ্রি দেয়ার নাম এ এইসব পোস্ট করা অফ করেন,Free te na dite parle free dewar naam e eisob post kora off koren
"ফ্রি তে না পয়েন্ট লাগে,অনেক আগে থেকেই জানি","free te na point lage,onek age thekei jani"
ফ্রি ভিপিএন কানেক্ট করে লিংক থেকে মোডেড ভার্সন টা ইউজ করুন কাজ করবে। ,free vpn connect kore link theke modded version ta use korun kaj korbe.
"ফ্রীপিসি এর যে ড্রাইভে ফাইল দিছেন, সবগুলা কি জিপ ফাইল করে দিতে পারবেন সাকিব ভাই?","freepic er j drive file dicen, sobgula ki zip file kore dite parben shakib vai?"
ফ্রাইডে এর আগে পেয়ে যাবেন ইনশা’আল্লাহ,friday r agge peye jaben insha’Allah
ফ্রেন্ড রিকোয়েস্ট দিয়েছি দেখেন,Friend request diyeci dekhen
এফটিপি ইউজ করে,ftp use kore
ফুল ২০ টাকা রিচার্জ হবে না ১৫ টাকা এমাউন্ট দিবেন তাইলে রিচার্জ হবে,Full 20 taka recharge hobe na 15 tak amount diben taile recharge hobe
ফুল চার্জ হতে কতক্ষন লাগে?,Full charge hote kotokkhon lage?
ফুল ফ্রি ইউজ করতে পারবেন,full free use korte parban
ফুল খেলা কয় এমবি লাগবে?,full khela koy Mb lagbe?
ফুল লেটেস্ট ভার্সন ডাউনলোড করতে চলে যান,Full latest version download korte chole jan
ফুল ম্যাচ এ কত এমবি কাটবে???,Full match e koto mb katbe???
ফুল প্রসেস আগের পোস্ট ফলো করুন ওটা লেখা আসবে না,full process ager post follow korun ota lekha ashbe na
ফুল ভার্সন? হলে লিংক টা দেন। প্রিসেট গুলা আর বেস পিচ কি বাড়ে কমে?,Full version? Hole link ta den. Preset gula r bass pitch ki bare kome?
জি ভাই আপনের গেম রিভিউ গুলা ভালোই লাগে বাট এগুলা বিরক্তিকর আরো কিছু অথর যারা এই কাম করে,G Bhai Apner Game Review Gula Valoi Lage Bt Agula Biroktikor Aro Kichu Author Jara Ai Kam Kre
জি পারবেন। তাছাড়া ডাউনলোড ম্যানেজার দিয়ে ও হাই স্পিড এ ডাউনলোড করতে পারবেন। ,g parben. tachara download manager diye o high speed a download korte parben.
জি সেই তা ২ন্ড পার্ট এ দেখাবো ,G sei ta 2nd pat re dekhabo
জি। ট্রাই করেন। আমি তো সব অ্যাপ ট্রাই করি নাই। অ্যাপ এর ফিচারস এ লেখা আছে যে অলমোস্ট সব গেম এ হ্যাক করা যাবে।,G. Try koren. ami to shob app try kori nai. app er features e lekha ase j almost shob game e hack kora jabe. 
গান শোনা হারাম,Gaan sona haram
গ্যালারি থেকে যেকোনো ভিডিও নিয়ে করা যাবে?,Gallary theke jekono video niye kora jabe?
গেম এর অবিবি সহ সেন্ড হয় ?,Game Ar OBB Soho Send Hoy ?
গেম এর রেডিম কোড…. মাঝে মাঝে অফার আছে,Game ar redeem code…. Majhe matjlhe offer asse
গেম তো একটাই…,Game To Aktai…
গেমিং এর ক্ষেত্রে কেমন হবে। ,Gaming er khetre Kemon hobe.
গেমিং ফোন লল,Gaming phone loool
গাঞ্জা খাইলে যা হয় আর কি…. কোনো কিছুই নাই.. এর থেকে পাগল ও ভালো ,ganja khaile ja hoy ar ki…. kono kicui nai.. er theke pagol o valo
গাঞ্জা সালা….আবার থ্যাংকস বল,Ganja sala….abar tnx bol
গাঁজা খাইয়া পোস্ট করছিলেন  না কি,gaza khaya post korcilen na ki 
গাঁজাউত্তীর্ণ মেয়াদ খেলে যা হয় ,gazauttirno meyad khele ja hoy 
জিবোর্ড এই কপি করে লিখা,Gboard ei copy kora lekha
জিবোর্ড এর ডাটা ফাইল এক্সেস করতে পারলে হবে,Gboard er data file access korte parle hobe
জিবোর্ড কত ভালো,Gbord koto valo
জিকেম চালানো যাবে কি???,Gcam chalano jabe ki???
নিউ জিমেইল একাউন্ট খুলতে হবে…,new GMail account khulte hbe…
গুড… জানতাম,GD… Jantam
জিড্রাইভে এর সুপার ভিপিএন এভায়লাবেল না দেখায়,Gdrive er super vpn available na dekhay 
গেট্ লিংক দেখছে সেইটাও পারছি বাট গুগল ড্রাইভ লিংক টা প্রব্লেম করছে…আপনি নিউ করা আবার লিংক টা অ্যাড করেন প্লিজ,get link dekhce seitao parci but google drive link taa problem korce…apni new kora abar link taa add koren please
জিজিটা ভি কিভাবে ডাউনলোড দেব..৫০০এমবি তে (পিসি)…,ggta v kivabe download debo..500mb te (pc)…
গিভএওে এর ডিটেলস কই??,giveaway er details koy??
গিভএওে কেমনে?,giveaway kmne?
গিভএওে তে কিভাবে পার্টিসিপেট করবো? ,giveaway te kivabe paricipate krbo?
জিমেইল একাউন্ট লগইন হয় না,Gmail account login hoy na
"জিমেইল এড্রেস এ কি শুধু ফটো ই শো করবে? আই মিন, লোকেশন শো করবে না?","Gmail address a ki sudhu photo e show korbe? I mean, location show korbe na?"
জিমেইল এর ফোন নম্বর থাকলে হবে,Gmail Ar Phone Number Thakle Hobe
জিমেইল করেন,GMail koren
গোল্ড কয়েন কি কিনবেন?? ,Gold coin ki kinben??
গোল্ড কয়েন তুলার কি কোন উপায় আছে??? ,Gold coin tular ki kon opay ase???
গুড বাট ৩৪কে এত টাকা দিয়া কে কিনবে এনিওয়ে রেডমি নোট ৭ এন্ড নোট ৭ প্রো টা নিয়া পোস্ট দিলে ভালো হতো,Good But 34K Ato Taka Diya Ka Kinba Any Way Redmi Note 7 And Note 7 Pro Ta Niya Post Dila Valo Hoto
গুড বাট আমি জানি,Good But Ami Jani
গুড কিন্তু স্ক্রিনশট দিলে ভালো হতো,good kintu screenshot dile vlo hoto
গুড পোস্ট । আপনি চালিয়ে যান পাশে আছি ,Good Post . Apni Chaliye Jan Pase aci
গুড পোস্ট বন্ধু,Good post bondhu
গুড পোস্ট বাট ভাই,Good post but vai
গুড পোস্ট ভাই একটু বলবেন কি এই অ্যাপ থেকে কি গ্যালারি তে ভিডিও ডাউনলোড দেয়া যায়,good post vai aktu bolben ki ai app theke ki gallery te video download deya jai
"গুড পোস্ট, বাট এটা অনেকেই যানে","Good post, but eta onekai jane"
গুড পোস্ট। আচ্ছা ভাই মাগীসক দিয়া রুট করলে কি ব্যাঙ্কিং অ্যাপ গুলা চালানো যায়? এন্স দেবেন প্লিজ,Good post. Accha vai magisk dia root korle ki banking app gula chalano jay? Ans deben plz
গুড পোস্ট। বাট অ্যাপ টা বেশি বড়,Good post. but app ta beshi boro
গুড পোস্ট। ভাই মাগীসক দিয়া রুট করলে কি ব্যাঙ্কিং অ্যাপ গুলা চালানো যায়? এন্স দেবেন প্লিজ,Good post. vai magisk dia root korle ki banking app guula chaalano jaay? Ans deben plz
গুড পোস্ট.. ফটো তে অ্যারো কি ভাবে অ্যাড করে ভাই ? প্লিজ টেল মি,good post.. photo te arrow ki vabe add kore vai ? please tell me
গুড পোস্ট..বাট ২টা দিক আমার খারাপ লাগলো,Good Post..But 2ta Dik Amar Kharap Laglo
গুড পোস্ট..কোয়ালিটি কেমন?,Good post.quality kemon?
গুড পোস্ট।তবে সবুর ভাই এটার প্রিমিয়াম ভার্সন নিয়ে পোস্ট করছে। এডফ্রি চাইলে ঐটা ইউজ করতে পারেন। ,Good post.tobe Sabur vai aitar premium version nia post korse.adfree caile oita use korte paren.
গুড পোস্ট… আপনার পোস্ট অনেক দিন পর দেখলাম ভাই…,Good Post… apnr post onk din pr dekhlam vai…
গুড পোস্ট…. গো অ্যাহেড ……. প্রো ভি। ফ্রি তে ইউজ করবো কেমনে,Good post…. Go ahead ……. Pro v. free te use korbo kemne
গুড পোস্ট….বাট এই বিষয়ে আরো পোস্ট আছে,Good Post….But Ei Bishoye Aro Post Ase
গুড পোস্ট….কাজেই লাগছে,good post….kajeee lagse
গুড পোস্ট…বাট কোনটা লাইভ কোনটা দিয়ে এটা বুজা যায় না…এই জন্য কারো কার্ড কাজ করতেছে আবার কারো তা করতেছে না…,good post…but konta live konta die eta buja jay na…ei jonno karo card kaj kortece abar karo ta kortece na…
"গুড ট্রিক।  থাক, আমি আর বললাম না। হাহা। ","Good trick. Thak, ami ar bollam na. haha."
"গুড, তবে পার্সেন্টেজে এ ভালো। ","Good, Tobe percentage e valo."
"গুড, বাট এটা ডার্ক মোড না","Good,but ata dark mode na"
গুড। অ্যাপ এর ভিতরে আপনার নাম দিয়ে রাখছেন,Good. app er vitore apnar nam diye rakhchen 
গুড। প্লে স্টোরে অ্যাড হলে ডাউনলোড করমু,Good. play store add hole download kormu
গুড…. বাট আমি অনেক আগেই এটা শেয়ার করেছিলাম মেবি। ,Good…. But ami onek agei eta share korecilam maybe.
গুগল এ পারমিশন দিবে না,Google a permission debe na
গুগল এ সার্চ দেন । ভিভো ইউ৩ প্রাইস ইন বিডি… অল ইনফো পাবেন।,Google A Search Dan . Vivo U3 Price In Bd… All Info Paben.
গুগল এ সার্চ করেন…পাবেন,Google a search koren…paben
গুগল একাউন্ট লগইন করলে প্রব্লেম সল্ভড…..,Google account login korle problem solved…..
গুগল অ্যাসিস্ট্যান্ট সিম্ফোনি ভি১১০ ফোন কাজ করে না… কোনো ট্রিক আছে যেটা দিয়ে এই ফোন গুগল অ্যাসিস্ট্যান্ট চালানো যাবে ,Google assistant symphony v110 phone kaj kore na… Kono trick ase jeta dea ai phone google assistant chalano jabe
গুগল দেখছি নতুন ফীচার অ্যাড করছে,Google deksi notun feature add korse
গুগল ড্রাইভ ৫টিবি নেয়া যাবে? ,google drive 5tb neya jabe?
গুগল ড্রাইভ দিয়ে যা করেন তাই করতে পারবেন,google drive diye ja koren tai korte parben
গুগল ড্রাইভ ডাউনলোড লিংক থাকলে দেন,Google drive download link thakle den
"গুগল ড্রাইভ এ পাইছি, ওকে","Google Drive e paisi, Ok"
গুগল ড্রাইভ এর লিংক দিন ,Google Drive er link din
গুগল ড্রাইভ এর লিংক কাজ করছে না,Google drive er link kaj korce na
"গুগল ড্রাইভ লিংক দাও, এখান থেকে ডাউনলোড করতে প্রভলেম হয়","Google drive link daw, akhan theke download korte provlem hoy"
গুগল ড্রাইভ লিংক দিলা আপনাদের কি প্রব্লেম হয় বুঝি না…..,Google drive link dila apnder ki problem hoy bujhi na…..
গুগল ড্রাইভ লিংক দিন কেউ এপিকে কাজ হয় না,google drive link din kaw apk kaj hoy na
গুগল ড্রাইভ লিংক কাজ করে না! নিউ লিংক দেও,Google drive link kaj kre na! new link deo
"গুগল ড্রাইভ, মিডিয়াফায়ার তো আছে","Google drive, mediafire to ache"
গুগল এ সার্চ দিলে এ পাবেন,Google e search dile e pben
গুগল এ সার্চ করেই পাবেন মুভি এর নাম লিকে জিপ ফাইল এক্সট্র্যাক্ট করলেই .এসআরটি পাবেন,Google e search korei papen movie er naam like zip file extract korlei .srt paben
"গুগল এই পাবেন, সার্চ করে দেখুন…","google ei paben, search kore dekhun…"
গুগল গিফট কার্ড কিনেন এন্ড ইউএসএ জিমেইল লাগবে এটাতে,Google gift card kinen and usa gmail lagbe eitate
গুগল কি ইনভ্যালিড ক্লিক দরবে,google ki invalid click dorbe
গুগল করেন আশা করি পেয়ে যাবেন ভাই,Google koren ASA kori peya jaben vai
"গুগল ম্যাপস, আর্থ এর নাম শুনেছেন কোনোদিন?","Google Maps, Earth er name shunchen konodin?"
গুগল ও… অ্যাপ টা কি?,Google o… App ta ki?
গুগল ওপানিওন রেওয়ার্ড টা দিয়ে বিডি থেকে আর্ন করা যায়?,Google opanion reword ta dia bd thake earn kora jay?
গুগল পিডিএফ রিডার ভালো লাগে,Google pdf reader valo lage
গুগল প্লে কার্ড এভায়লাবেল -কে বলছে আপনাকে? ,Google play card available -k bolse apnak?
গুগল প্লে সার্ভিস অ্যাপ টা ডিসেবল করতে হবে?,Google play service app ta disabled korte hobe?
"গুগল প্লে স্টোরে কার্ড টা একসেপ্ট করে না , ","Google play store card ta accept kore na ,"
গুগল প্লে স্টোর এ যে কিভাবে অ্যাড করবো ?,google play store e kivabe add korbo ?
গুগল প্লেস্টোর এ নেই কোনো?,Google Playstore a nei kano?
গুগল সার্চ দিলে পাওয়া যায়,Google search dile pawa jai
গুগল সার্চ করেন,Google search koren
গুগল থাকায় এইসব কেনো ইউজ করবো,Google thakay aisob kano use korbo
গুগল থেকে ডাউনলোড করুন…,google theke download korun…
গুগল থেকে সাইট ডাউন করে দেয় ,Google theke site down kore dey
গুগল ট্রান্সলেটরস সম্পর্কে আপনার কোনো ধারণাই নাই,Google translators somporke apner kono dharonai nai
গুগলগিফ্ট কার্ড কি?? কিভাবে পাবো?,Googlegift card ki?? Kivabe pabo?
গরিব আমি.. কিনবার পামু না ভাউ…,Gorid ami.. kinbar pamu na vau…
গভর্নমেন্ট অফিসিয়াল সাইট আছে এটার জন্য,government official site ache aitar jonno
জিপি লিংক দেয়ার মানে হলো ফাজলামি করা,GP link dewar mane holo fajlami kora.
জিপি মডেম চালাতে পারবো??,gp modem chalte parbo??
জিপি সিম এ বিকাশ আছে….যদি এয়ারটেল এ রিচার্জ নেই তাইলে ক্যাশব্যাক পাবো?,Gp Sim A Bikas Ase….Jodi Airtel A Recharge Nei Taile Cashback Pabo?
জিপি সিম এ টাকা থাকতে হবে নাকি?,Gp Sim a taka thakte hobe naki?
জিপিইউ কি ,gpu ki
গ্রামীনফোন এর পোস্ট এয়ারটেল ক্যাটাগরি তে কেন ভাই?,Grameenphone er post Airtel Category te keno vai?
গ্রাম্মারলি একাউন্ট এর পাসওয়ার্ড চেঞ্জ করে দিছে ভাই ,grammarly account er password change kore dise vai 
গ্রীন স্ক্রিন ইফেক্ট চাই আমার ,Green Screen Effect Chai Amr
গ্রুপ এ জয়েন করছি এক্সসেপ্ট করেন,Group a join korci accpet koren
"গ্রুপ লিংক দেয়া আছে , গ্রুপ এ মেসেজ দেন","group link dewa ase , group e msg den"
